english,tamil,category,tamil_category
abaxial,அச்சுவிலகிய,Biology,உயிரியல்
abdomen,அடிவயிறு,Biology,உயிரியல்
abdominal aorta,அடிவயிற்றுத் தமனி,Biology,உயிரியல்
abduction,நீட்டுதல்,Biology,உயிரியல்
abductor muscle,உள்ளிழுப்புத் தசை,Biology,உயிரியல்
aberrations,பிறழ்ச்சி,Biology,உயிரியல்
abiogenesis,உயிரிலிவழிப் பிறப்பு,Biology,உயிரியல்
ablactation,தாய்ப்பால் மறத்தல்,Biology,உயிரியல்
ablepsia,குருடு,Biology,உயிரியல்
abnormal flower,ஒழுங்கற்ற மலர்,Biology,உயிரியல்
abnormal plant,ஒழுங்கற்ற தாவரம்,Biology,உயிரியல்
abnormalities,ஒழுங்கற்றவை,Biology,உயிரியல்
abomasum,செரிமான இரைப்பை,Biology,உயிரியல்
aboral zone,வாய்ப்புறப் பகுதி,Biology,உயிரியல்
aborticide,கருக்கொலை,Biology,உயிரியல்
abortifacient,கருச்சிதைவுத் தூண்டு,Biology,உயிரியல்
abortion,கருச்சிதைவு,Biology,உயிரியல்
abortive,நிறைவுபெறாத,Biology,உயிரியல்
abscess,சீழ்க்கட்டி,Biology,உயிரியல்
abscission,உதிர்தல்,Biology,உயிரியல்
absolute,"தனி, முழுமையான",Biology,உயிரியல்
absolute configuration,தனிச்சார்பிலா அமைப்பு,Biology,உயிரியல்
absolute humidity,முற்றீரப்பதம்,Biology,உயிரியல்
absorbance,உறிஞ்சுதல்,Biology,உயிரியல்
absorbifacient,உறிஞ்சும் தன்மைகொண்ட,Biology,உயிரியல்
absorbing surface,உறிஞ்சு தளம்,Biology,உயிரியல்
absorption,"உறிஞ்சப்படுதல், உறிஞ்சுதல்",Biology,உயிரியல்
absorption spectrum,உறிஞ்சிய நிறமாலை,Biology,உயிரியல்
absorptive ability,உறிஞ்சு திறன்,Biology,உயிரியல்
absorptivity,உள்ளீர்த்தல்,Biology,உயிரியல்
abstract,சுருக்கம்,Biology,உயிரியல்
abulomania,மனநோய்,Biology,உயிரியல்
abundance controls,மிகுதியான கட்டுப்பாடுகள்,Biology,உயிரியல்
abyss,படுகுழி,Biology,உயிரியல்
acardia,பிறப்பில் இதயமின்மை,Biology,உயிரியல்
acaricide,புழுக்கொல்லி,Biology,உயிரியல்
acarid,சிறு பூச்சிபோன்ற,Biology,உயிரியல்
acaroid,உண்ணிபோன்ற,Biology,உயிரியல்
acaroid resin,அக்ராய்டு பிசின்,Biology,உயிரியல்
acarology,சிறு பூச்சியியல்,Biology,உயிரியல்
acceleration,"விரைவுபடுத்தல், முடுக்கம்",Biology,உயிரியல்
accelerational force,முடுக்க விசை,Biology,உயிரியல்
accelerator,முடுக்கி,Biology,உயிரியல்
acceptors,ஏற்பிகள்,Biology,உயிரியல்
accessory bud,துணை மொட்டு,Biology,உயிரியல்
accessory cell,துணை உயிரணு,Biology,உயிரியல்
accessory heart,துணை இதயம்,Biology,உயிரியல்
accessory nerve,துணை நரம்பு,Biology,உயிரியல்
accessory organs,துணை உறுப்புகள்,Biology,உயிரியல்
accessory pigments,துணை நிறமிகள்,Biology,உயிரியல்
accipitrine,வல்லூறுபோன்ற,Biology,உயிரியல்
acclimation,சூழல் தகவமைப்பு,Biology,உயிரியல்
acclimation rate,தகவமைப்பு வேகம்,Biology,உயிரியல்
accouchment,பேறுகாலம்,Biology,உயிரியல்
accrescent,உடன்வளரும்,Biology,உயிரியல்
accrescent calyx,கனிமூடிய புல்லி,Biology,உயிரியல்
accresent,விரிவுறு,Biology,உயிரியல்
accumulation,"திரட்டல், திரள்",Biology,உயிரியல்
accumulator species,திரட்டுச் சிற்றினம்,Biology,உயிரியல்
acellular,உயிரணுவற்ற,Biology,உயிரியல்
acentric chromatid,(மையனிலா) குரோமோடிட்,Biology,உயிரியல்
acentric chromosomes,(மையனிலா) மரபுத்திரி,Biology,உயிரியல்
acervulus,கொனிடிய காம்புமெத்தை,Biology,உயிரியல்
acetabulum,இடுப்பெலும்புக்குழி,Biology,உயிரியல்
acetal bonds,அசெட்டைல் பிணைப்பு,Biology,உயிரியல்
achene,செவ்வறைக்கனி,Biology,உயிரியல்
achilless tendon,குதிநாண்,Biology,உயிரியல்
achlamydeous,உறையற்ற (மலர்கள்/இதழ்கள்),Biology,உயிரியல்
achromatic,நிறமிலா,Biology,உயிரியல்
acid deposition,அமிலப்படிவு,Biology,உயிரியல்
acid drainage,அமில வடிகால்,Biology,உயிரியல்
acid indigestion,அமிலச் செரியாமை,Biology,உயிரியல்
acid rain,அமில மழை,Biology,உயிரியல்
acidemia,இரத்த அமிலத்தன்மை,Biology,உயிரியல்
acid-fast bacteria,"அமிலப்பற்றுமை பாக்டீரியம், அமிலப்பற்றுமை நுண்மம்",Biology,உயிரியல்
acid-fast stain,அமிலப்பற்றுச் சாயம்,Biology,உயிரியல்
acidic dye,அமிலச் சாயம்,Biology,உயிரியல்
acidic soil,அமில மண்,Biology,உயிரியல்
acidification,அமிலமாக்கல்,Biology,உயிரியல்
acidity,அமிலத்தன்மை,Biology,உயிரியல்
acidophil cell,அமிலப்பற்றுடைய உயிரணு,Biology,உயிரியல்
acidopholic,அமிலப்பற்று,Biology,உயிரியல்
acidosis,அமிலத்தேக்க நோய்,Biology,உயிரியல்
acinus,"அசினஸ், சுரப்பிக்குழிவுகள்",Biology,உயிரியல்
acne,முகப்பரு,Biology,உயிரியல்
acoelomate,உடற்குழியற்றவை,Biology,உயிரியல்
acoustico facialis nerve,ஒலிமுக நரம்பு,Biology,உயிரியல்
acoustic,"ஒலிசார், ஒலியிய",Biology,உயிரியல்
acoustic emissions,ஒலியுமிழ்வு,Biology,உயிரியல்
acoustical materials,ஒலியிய பொருட்கள்,Biology,உயிரியல்
acquatic saprophytes,நீர் மட்கு உண்ணி,Biology,உயிரியல்
acquired,ஈட்டு(ப்பண்பு),Biology,உயிரியல்
acquired immunity,ஈட்டிய நோய்த்தடுப்பாற்றல்,Biology,உயிரியல்
acquired immunodeficiency diseases,பெறப்பட்ட எதிர்ப்பாற்றல் பற்றாக்குறை நோய்கள்,Biology,உயிரியல்
acridology,வெட்டுக்கிளியியல்,Biology,உயிரியல்
acrimonious,எரிச்சலான,Biology,உயிரியல்
acrocentric,முன்மைய,Biology,உயிரியல்
acrodont,முகடு இணைப்பற்கள்,Biology,உயிரியல்
acrodont dentition,முகடு இணைப்பல் அமைப்பு,Biology,உயிரியல்
acromegaly,உடல்முனைவீக்கம்,Biology,உயிரியல்
acromion process,"அக்ரோமயிநீட்சி, தோள்பட்டை எலும்புநீட்சி",Biology,உயிரியல்
acropathy,கைகால் வலி,Biology,உயிரியல்
acropetal,நுனிநோக்கிய,Biology,உயிரியல்
acropetal succession,மேல்நோக்கிய அமைவு வரிசை,Biology,உயிரியல்
acropetally,நுனிநோக்கிய வரிசை,Biology,உயிரியல்
acrosomal granule,அக்ரோசோம் துகள்கள்,Biology,உயிரியல்
acrospire,முளைக்கும் முதல் இலை,Biology,உயிரியல்
actin filament,ஆக்டின் (திரி) இழை,Biology,உயிரியல்
actin-binding protein,ஆக்டினுடன் சேரும் புரதம்,Biology,உயிரியல்
actinomorphy,ஆரச்சமச்சீருடையவை,Biology,உயிரியல்
actinomycin D resistance,ஆக்ட்டினோமைசின் - D - எதிர்ப்பு,Biology,உயிரியல்
actinostele,விண்மீன் வடிவத்திசு அமைவு,Biology,உயிரியல்
action potential,செயல்திறல்,Biology,உயிரியல்
action spectra,செயல்திறல் நிறமாலை,Biology,உயிரியல்
activated carriers,செயல்திறல் கடத்திகள்,Biology,உயிரியல்
activated methyl cycle,தூண்டப்பட்ட மீதைல் சுழற்சி,Biology,உயிரியல்
activated sludge method,தூண்டப்பட்ட சகதி முறை,Biology,உயிரியல்
activating enzymes,ஊக்கு நொதிகள்,Biology,உயிரியல்
activation,"தூண்டுதல், ஊக்குவித்தல்",Biology,உயிரியல்
activation energy,ஊக்குவிக்கும் ஆற்றல்,Biology,உயிரியல்
activation of enzyme,நொதி ஊக்குவித்தல்,Biology,உயிரியல்
activator protein,ஊக்குவிக்கும் புரதம்,Biology,உயிரியல்
activators,"தூண்டிகள், ஊக்கிகள்",Biology,உயிரியல்
active acquired immunity,பெறப்பட்ட செயல்மிகு நோய்த்தடுப்பாற்றல்,Biology,உயிரியல்
active discharge,விசை விடுப்பு,Biology,உயிரியல்
active immunity,தூண்டு எதிர்விளைவு,Biology,உயிரியல்
active immunization,வீரிய எதிர்ப்பாற்றல்,Biology,உயிரியல்
active site,வினைத்திறன் மையம்,Biology,உயிரியல்
active solar techniques,தூண்டு சூரிய நுட்பங்கள்,Biology,உயிரியல்
active transport,ஊக்கத்துடன் கடத்துதல்,Biology,உயிரியல்
acupuncture,ஊசிகுத்துச் சிகிச்சை,Biology,உயிரியல்
acute,கூர்மையான,Biology,உயிரியல்
acute abdomeninal pain,தீவிர வயிற்றுவலி,Biology,உயிரியல்
acute illness,தீவிர நோயுறல்,Biology,உயிரியல்
acute infections,வீரிய நோய்த்தொற்றல்,Biology,உயிரியல்
acute inflammation,தீவிர வீக்கம்,Biology,உயிரியல்
acute toxicity,வீரிய நச்சுத்தன்மை,Biology,உயிரியல்
acyclic,சுழற்சியற்ற,Biology,உயிரியல்
acyl carrier protein,அசைல் கடத்து புரதம்,Biology,உயிரியல்
adactylous,விரலற்ற,Biology,உயிரியல்
adams apple,குரல்வளை,Biology,உயிரியல்
adansonian taxonomy,அடன்சோனியின் வகைப்பாடு,Biology,உயிரியல்
adaptable,தகவமைதகு,Biology,உயிரியல்
adaptation,தகவமைப்பு,Biology,உயிரியல்
adaptive immunity,தகவமைப்பு எதிர்ப்பாற்றல்,Biology,உயிரியல்
adaptive mutation,தகவமைப்பு சடுதிமாற்றம்,Biology,உயிரியல்
adaptive radiation,தழுவிப்பரவல்,Biology,உயிரியல்
adaxial,"அச்சுநோக்கிய, மேற்புறம்",Biology,உயிரியல்
addition,"சேர்த்தல், சொருகல், கூடுதல்",Biology,உயிரியல்
addition mutation,கூடுதல் சடுதிமாற்றம்,Biology,உயிரியல்
additive alleles,கூடுதல் இணை மரபணுக்கள்,Biology,உயிரியல்
additive effect,கூட்டு விளைவு,Biology,உயிரியல்
additive variance,கூட்டு வேறுபாடு,Biology,உயிரியல்
adenalgia,சுரப்புவலி,Biology,உயிரியல்
adenine,அடினைன்,Biology,உயிரியல்
adenine nucleotide carrier,அடினைன் நீயூக்கிளியோடைடு கடத்தி,Biology,உயிரியல்
adenosine deaminase deficiency,அடினோசென் டிஅமினேஸ் பற்றாக்குறை,Biology,உயிரியல்
adentive embryo initial cells,கிளைவழிக்கரு முன்னோடு உயிரணுக்கள்,Biology,உயிரியல்
adephagia,கொடும்பசி,Biology,உயிரியல்
adhere,ஒட்டு,Biology,உயிரியல்
adherence,ஒட்டுதல்,Biology,உயிரியல்
